"Rob Gronkowski, NE",Car,3rd,3,16,238,25,2,0,0,1,0,18.3,6600,2.77,Sun 1:00,,,,,,,,,,,,,
"Zach Ertz, Phi",@LAC,6th,3,21,245,28,1,0,0,1,1,16.8,6300,2.67,Sun 4:05,,,,,,,,,,,,,
"Travis Kelce, KC",Was,25th,3,14,144,18,1,4,0,0,0,12.6,6000,2.1,Mon 8:30,,,,,,,,,,,,,
"Jordan Reed, Was",@KC,10th,2,11,84,14,0,0,0,1,0,9.7,5400,1.8,Mon 8:30,,,,,,,,,,,,,
"Jason Witten, Dal",LA,12th,3,18,159,26,2,0,0,0,0,15.3,5000,3.06,Sun 1:00,,,,,,,,,,,,,
"Jimmy Graham, Sea",Ind,11th,3,11,81,21,0,0,0,0,0,6.4,4900,1.3,Sun 8:30,,,,,,,,,,,,,
"Delanie Walker, Ten",@Hou,19th,3,15,168,19,0,1,1,0,0,12.6,4900,2.58,Sun 1:00,,,,,,,,,,,,,
"Greg Olsen, Car",@NE,32nd,2,3,28,6,0,0,0,0,0,2.9,4700,0.62,Sun 1:00,,,,,,,,,,,,,
"Kyle Rudolph, Min",Det,13th,3,8,75,11,1,0,0,0,0,7.2,4100,1.75,Sun 1:00,,,,,,,,,,,,,
"Tyler Eifert, Cin",@Cle,30th,2,4,46,5,0,0,0,0,0,4.3,3900,1.1,Sun 1:00,,,,,,,,,,,,,
"Cameron Brate, TB",NYG,31st,2,6,57,7,1,0,0,0,0,8.8,3800,2.33,Sun 4:05,,,,,,,,,,,,,
"Martellus Bennett, GB",Chi,20th,3,11,102,21,0,0,0,0,0,7.1,3700,1.91,Thu 8:25,,,,,,,,,,,,,
"Charles Clay, Buf",@Atl,14th,3,13,115,18,2,0,0,1,0,12.2,3700,3.29,Sun 1:00,,,,,,,,,,,,,
"Vernon Davis, Was",@KC,10th,3,6,71,7,1,0,0,0,0,6.4,3700,1.72,Mon 8:30,,,,,,,,,,,,,
"Benjamin Watson, Bal",Pit,7th,3,11,103,12,1,0,0,0,0,9.1,3600,2.53,Sun 1:00,,,,,,,,,,,,,
"Ryan Griffin, Hou",Ten,21st,2,5,61,7,1,0,0,0,0,8.6,3500,2.44,Sun 1:00,,,,,,,,,,,,,
"Hunter Henry, LAC",Phi,24th,3,7,80,7,0,0,0,0,0,5,3500,1.43,Sun 4:05,,,,,,,,,,,,,
"Jared Cook, Oak",@Den,27th,3,13,124,17,1,0,0,0,0,10.5,3400,3.08,Sun 4:25,,,,,,,,,,,,,
"Jack Doyle, Ind",@Sea,18th,3,12,136,16,0,0,0,1,1,8.2,3400,2.41,Sun 8:30,,,,,,,,,,,,,
"Coby Fleener, NO",@Mia,28th,3,9,108,11,2,0,0,0,0,10.6,3400,3.12,Sun 9:30,,,,,,,,,,,,,
"Austin Hooper, Atl",Buf,9th,3,5,144,6,1,0,0,0,0,9.5,3300,2.87,Sun 1:00,,,,,,,,,,,,,
"Eric Ebron, Det",@Min,22nd,3,9,60,15,1,0,0,0,0,7,3100,2.26,Sun 1:00,,,,,,,,,,,,,
"Evan Engram, NYG",@TB,3rd,3,13,138,19,1,0,0,0,0,10.9,3000,3.64,Sun 4:05,,,,,,,,,,,,,
"Jesse James, Pit",@Bal,26th,3,12,87,17,2,0,0,0,0,10.9,3000,3.63,Sun 1:00,,,,,,,,,,,,,
"Austin Seferian-Jenkins, NYJ",Jax,29th,1,5,31,6,0,0,0,0,0,8.1,3000,2.7,Sun 1:00,,,,,,,,,,,,,
"Antonio Gates, LAC",Phi,24th,3,6,58,12,1,0,0,0,0,5.9,2900,2.05,Sun 4:05,,,,,,,,,,,,,
"David Njoku, Cle",Cin,5th,3,7,59,10,2,0,0,0,0,8.3,2900,2.86,Sun 1:00,,,,,,,,,,,,,
"Julius Thomas, Mia",NO,23rd,2,6,42,8,0,0,0,0,0,5.1,2900,1.76,Sun 9:30,,,,,,,,,,,,,
"Stephen Anderson, Hou",Ten,21st,2,3,28,8,0,0,0,0,0,2.9,2800,1.04,Sun 1:00,,,,,,,,,,,,,
"Ed Dickson, Car",@NE,32nd,3,3,34,5,0,0,0,0,0,2.1,2800,0.76,Sun 1:00,,,,,,,,,,,,,
"Jermaine Gresham, Ari",SF,1st,2,8,62,13,0,0,0,0,0,7.1,2800,2.54,Sun 4:05,,,,,,,,,,,,,
"Marcedes Lewis, Jax",@NYJ,16th,3,4,62,9,3,0,0,0,0,9.4,2800,3.36,Sun 1:00,,,,,,,,,,,,,
"Zach Miller, Chi",@GB,2nd,3,11,98,18,0,0,0,0,0,6.9,2800,2.48,Thu 8:25,,,,,,,,,,,,,
"Virgil Green, Den",Oak,15th,3,6,73,7,1,0,0,0,0,6.4,2700,2.38,Sun 4:25,,,,,,,,,,,,,
"O.J. Howard, TB",NYG,31st,2,2,29,4,0,0,0,0,0,2.5,2700,0.91,Sun 4:05,,,,,,,,,,,,,
"Vance McDonald, Pit",@Bal,26th,2,0,0,1,0,0,0,0,0,0,2700,0,Sun 1:00,,,,,,,,,,,,,
"Richard Rodgers, GB",Chi,20th,3,2,22,4,0,0,0,0,0,1.4,2700,0.52,Thu 8:25,,,,,,,,,,,,,
"Luke Willson, Sea",Ind,11th,3,6,78,8,1,0,0,0,0,6.6,2700,2.44,Sun 8:30,,,,,,,,,,,,,
"Seth Devalve, Cle",Cin,5th,3,8,132,14,0,0,0,0,0,7.1,2600,2.72,Sun 1:00,,,,,,,,,,,,,
"Demetrius Harris, KC",Was,25th,3,2,15,2,1,0,0,0,0,3.2,2600,1.22,Mon 8:30,,,,,,,,,,,,,
"Tyler Kroft, Cin",@Cle,30th,3,4,33,5,0,0,0,0,0,2.4,2600,0.94,Sun 1:00,,,,,,,,,,,,,
"Jonnu Smith, Ten",@Hou,19th,3,3,54,6,2,0,0,0,0,6.8,2600,2.62,Sun 1:00,,,,,,,,,,,,,
"Erik Swoope, Ind",@Sea,18th,--,--,--,--,--,--,--,--,--,0,2600,0,Sun 8:30,,,,,,,,,,,,,
"Will Tye, NYJ",Jax,29th,3,4,38,6,0,0,0,0,0,2.6,2600,1,Sun 1:00,,,,,,,,,,,,,
"Jerell Adams, NYG",@TB,3rd,3,1,38,1,0,0,0,0,0,1.6,2500,0.64,Sun 4:05,,,,,,,,,,,,,
"Dwayne Allen, NE",Car,3rd,3,0,0,5,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Antony Auclair, TB",NYG,31st,--,--,--,--,--,--,--,--,--,0,2500,0,Sun 4:05,,,,,,,,,,,,,
"Blake Bell, Min",Det,13th,3,0,0,1,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Nick Boyle, Bal",Pit,7th,3,4,37,4,0,0,0,0,0,2.6,2500,1.03,Sun 1:00,,,,,,,,,,,,,
"Beau Brinkley, Ten",@Hou,19th,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Daniel Brown, Chi",@GB,2nd,2,0,0,0,0,0,0,0,0,0,2500,0,Thu 8:25,,,,,,,,,,,,,
"Trey Burton, Phi",@LAC,6th,3,3,17,4,0,0,0,0,0,1.6,2500,0.63,Sun 4:05,,,,,,,,,,,,,
"Jake Butt, Den",Oak,15th,--,--,--,--,--,--,--,--,--,0,2500,0,Sun 4:25,,,,,,,,,,,,,
"Derek Carrier, LA",@Dal,17th,3,3,38,4,0,0,0,0,0,2.3,2500,0.91,Sun 1:00,,,,,,,,,,,,,
"Cethan Carter, Cin",@Cle,30th,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Brent Celek, Phi",@LAC,6th,3,1,11,2,0,0,0,0,0,0.7,2500,0.28,Sun 4:05,,,,,,,,,,,,,
"Garrett Celek, SF",@Ari,8th,3,2,7,3,1,0,0,0,0,2.9,2500,1.16,Sun 4:05,,,,,,,,,,,,,
"Alan Cross, TB",NYG,31st,2,2,11,2,0,0,0,0,0,1.6,2500,0.62,Sun 4:05,,,,,,,,,,,,,
"Sean Culkin, LAC",Phi,24th,1,0,0,0,0,0,0,0,0,0,2500,0,Sun 4:05,,,,,,,,,,,,,
"Darrell Daniels, Ind",@Sea,18th,3,1,6,1,0,0,0,0,0,0.5,2500,0.21,Sun 8:30,,,,,,,,,,,,,
"Andrew DePaola, Chi",@GB,2nd,3,0,0,0,0,0,0,0,0,0,2500,0,Thu 8:25,,,,,,,,,,,,,
"A.J. Derby, Den",Oak,15th,3,4,39,6,0,0,0,0,0,2.6,2500,1.05,Sun 4:25,,,,,,,,,,,,,
"Rhett Ellison, NYG",@TB,3rd,3,3,30,3,0,0,0,0,0,2,2500,0.8,Sun 4:05,,,,,,,,,,,,,
"Gerald Everett, LA",@Dal,17th,3,4,134,4,0,0,0,0,0,5.8,2500,2.32,Sun 1:00,,,,,,,,,,,,,
"Anthony Fasano, Mia",NO,23rd,2,0,0,0,0,0,0,0,0,0,2500,0,Sun 9:30,,,,,,,,,,,,,
"Darren Fells, Det",@Min,22nd,3,2,11,2,0,0,0,0,0,1,2500,0.41,Sun 1:00,,,,,,,,,,,,,
"MarQueis Gray, Mia",NO,23rd,2,0,0,0,0,0,0,0,0,0,2500,0,Sun 9:30,,,,,,,,,,,,,
"Xavier Grimble, Pit",@Bal,26th,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"James Hanna, Dal",LA,12th,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Clark Harris, Cin",@Cle,30th,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Jeff Heuerman, Den",Oak,15th,3,2,35,3,0,0,0,0,0,1.8,2500,0.73,Sun 4:25,,,,,,,,,,,,,
"Ryan Hewitt, Cin",@Cle,30th,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Tyler Higbee, LA",@Dal,17th,3,3,21,7,0,0,0,0,0,1.7,2500,0.68,Sun 1:00,,,,,,,,,,,,,
"Josh Hill, NO",@Mia,28th,3,4,32,4,0,0,0,0,0,2.4,2500,0.96,Sun 9:30,,,,,,,,,,,,,
"Jacob Hollister, NE",Car,3rd,2,2,24,3,0,0,0,0,0,2.2,2500,0.88,Sun 1:00,,,,,,,,,,,,,
"Michael Hoomanawanui, NO",@Mia,28th,3,1,8,2,0,0,0,0,0,0.6,2500,0.24,Sun 9:30,,,,,,,,,,,,,
"Lance Kendricks, GB",Chi,20th,3,4,70,7,1,0,0,0,0,5.7,2500,2.27,Thu 8:25,,,,,,,,,,,,,
"George Kittle, SF",@Ari,8th,3,8,48,11,0,0,0,0,0,4.3,2500,1.71,Sun 4:05,,,,,,,,,,,,,
"Ben Koyack, Jax",@NYJ,16th,3,0,0,1,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Matt LaCosse, NYG",@TB,3rd,--,--,--,--,--,--,--,--,--,0,2500,0,Sun 4:05,,,,,,,,,,,,,
"Khari Lee, Buf",@Atl,14th,--,--,--,--,--,--,--,--,--,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Jordan Leggett, NYJ",Jax,29th,--,--,--,--,--,--,--,--,--,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Chris Manhertz, Car",@NE,32nd,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Kevin McDermott, Min",Det,13th,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Sean McGrath, LAC",Phi,24th,2,1,10,1,0,0,0,0,0,1,2500,0.4,Sun 4:05,,,,,,,,,,,,,
"Ifeanyi Momah, Ari",SF,1st,3,1,46,2,0,0,0,0,0,1.9,2500,0.75,Sun 4:05,,,,,,,,,,,,,
"David Morgan, Min",Det,13th,3,0,0,1,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Kyle Nelson, SF",@Ari,8th,--,--,--,--,--,--,--,--,--,0,2500,0,Sun 4:05,,,,,,,,,,,,,
"Troy Niklas, Ari",SF,1st,3,2,26,4,0,0,0,0,0,1.5,2500,0.61,Sun 4:05,,,,,,,,,,,,,
"Nick O'Leary, Buf",@Atl,14th,3,2,53,3,0,0,0,0,0,2.4,2500,0.97,Sun 1:00,,,,,,,,,,,,,
"James O'Shaughnessy, Jax",@NYJ,16th,3,2,30,2,0,0,0,0,0,1.7,2500,0.67,Sun 1:00,,,,,,,,,,,,,
"Tyler Ott, Sea",Ind,11th,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 8:30,,,,,,,,,,,,,
"Niles Paul, Was",@KC,10th,3,1,-3,1,0,0,0,0,0,0.2,2500,0.09,Mon 8:30,,,,,,,,,,,,,
"Logan Paulsen, SF",@Ari,8th,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 4:05,,,,,,,,,,,,,
"Michael Roberts, Det",@Min,22nd,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Eric Saubert, Atl",Buf,9th,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Adam Shaheen, Chi",@GB,2nd,3,1,2,1,1,0,0,0,0,2.4,2500,0.96,Thu 8:25,,,,,,,,,,,,,
"Dion Sims, Chi",@GB,2nd,3,2,31,4,0,0,0,0,0,1.7,2500,0.68,Thu 8:25,,,,,,,,,,,,,
"Lee Smith, Oak",@Den,27th,3,1,9,1,0,0,0,0,0,0.6,2500,0.25,Sun 4:25,,,,,,,,,,,,,
"Jeremy Sprinkle, Was",@KC,10th,1,0,0,0,0,0,0,0,0,0,2500,0,Mon 8:30,,,,,,,,,,,,,
"Neal Sterling, NYJ",Jax,29th,2,1,8,2,0,0,0,0,0,0.9,2500,0.36,Sun 1:00,,,,,,,,,,,,,
"Luke Stocker, TB",NYG,31st,2,0,0,0,0,0,0,0,0,0,2500,0,Sun 4:05,,,,,,,,,,,,,
"Phillip Supernaw, Ten",@Hou,19th,3,1,3,1,0,0,0,0,0,0.4,2500,0.17,Sun 1:00,,,,,,,,,,,,,
"Geoff Swaim, Dal",LA,12th,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Randall Telfer, Cle",Cin,5th,3,2,24,2,0,0,0,0,0,1.5,2500,0.59,Sun 1:00,,,,,,,,,,,,,
"Logan Thomas, Buf",@Atl,14th,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Levine Toilolo, Atl",Buf,9th,3,0,0,1,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Eric Tomlinson, NYJ",Jax,29th,1,2,25,2,0,0,0,0,0,4.5,2500,1.8,Sun 1:00,,,,,,,,,,,,,
"Ross Travis, KC",Was,25th,3,0,0,2,0,0,0,0,0,0,2500,0,Mon 8:30,,,,,,,,,,,,,
"C.J. Uzomah, Cin",@Cle,30th,1,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Nick Vannett, Sea",Ind,11th,3,1,10,1,0,0,0,0,0,0.7,2500,0.27,Sun 8:30,,,,,,,,,,,,,
"Clive Walford, Oak",@Den,27th,3,2,6,2,0,0,0,0,0,0.9,2500,0.35,Sun 4:25,,,,,,,,,,,,,
"Brandon Williams, Ind",@Sea,18th,3,2,27,2,0,0,0,0,0,1.6,2500,0.63,Sun 8:30,,,,,,,,,,,,,
"Maxx Williams, Bal",Pit,7th,2,5,26,5,0,2,0,0,0,3.9,2500,1.56,Sun 1:00,,,,,,,,,,,,,
"James Winchester, KC",Was,25th,--,--,--,--,--,--,--,--,--,0,2500,0,Mon 8:30,,,,,,,,,,,,,
